step,action_alignment,reward_guide
2048,-0.013513490557670593,0.0
4096,0.006537393666803837,0.0
6144,0.015517275780439377,0.0
8192,0.011993510648608208,0.0
10240,0.04167167842388153,0.0
12288,0.042637478560209274,0.0
14336,0.05866367369890213,0.0
16384,0.08466563373804092,0.0
18432,0.07935867458581924,0.0
20480,0.09554927051067352,0.0
22528,0.09405866265296936,0.0
24576,0.09819875657558441,0.0
26624,0.10816878825426102,0.0
28672,0.08399106562137604,0.0
30720,0.08490355312824249,0.0
32768,0.085824154317379,0.0021604057401418686
34816,0.12999093532562256,0.0028582988306879997
36864,0.13506904244422913,0.0027100841980427504
38912,0.1289110779762268,0.002390963723883033
40960,0.14186343550682068,0.00237915082834661
43008,0.14454343914985657,0.002218023408204317
45056,0.12445198744535446,0.001794016221538186
47104,0.14136044681072235,0.0018342484254390001
49152,0.1261659860610962,0.0015292037278413773
51200,0.1374393105506897,0.0015092788962647319
53248,0.1316552758216858,0.0013359005097299814
55296,0.12846556305885315,0.0012008524499833584
57344,0.11344070732593536,0.000990079017356038
59392,0.12941613793373108,0.0010180448880419135
61440,0.11184833198785782,0.0008238711161538959
63488,0.09764689952135086,0.0006707371794618666
65536,0.09274762123823166,0.0005879264790564775
67584,0.10246729105710983,0.00058979686582461
69632,0.09331723302602768,0.0004980338853783906
71680,0.11962351948022842,0.0005689858226105571
73728,0.12472119927406311,0.0005458291852846742
75776,0.09329734742641449,0.00042296474566683173
77824,0.09942460060119629,0.00044769677333533764
79872,0.08995180577039719,0.00040930238901637495
81920,0.09267713874578476,0.0004204403958283365
83968,0.09044042229652405,0.0004113047616556287
86016,0.09041528403759003,0.0004112018214073032
88064,0.0810578316450119,0.0003724372945725918
90112,0.10291983187198639,0.0004616366932168603
92160,0.07933501899242401,0.00036520487628877163
94208,0.08804172277450562,0.00040145189268514514
96256,0.08643946051597595,0.00039483842556364834
98304,0.09157618880271912,0.0004159499076195061
100352,0.09292102605104446,0.00042143353493884206
102400,0.08765015751123428,0.00039983808528631926
