step,action_alignment,reward_guide
2048,0.06940673291683197,0.006940673105418682
4096,0.024665091186761856,0.0024665091186761856
6144,0.024139218032360077,0.0024139215238392353
8192,0.025127127766609192,0.0025127127300947905
10240,0.03375738859176636,0.0033757388591766357
12288,0.021416623145341873,0.0021416624076664448
14336,0.017390497028827667,0.0017390495631843805
16384,0.014044087380170822,0.0014044088311493397
18432,-0.0038735168054699898,-0.0003873517271131277
20480,0.008267056196928024,0.000826705654617399
22528,0.029766101390123367,0.002976610092446208
24576,0.022827843204140663,0.0022827843204140663
26624,0.044305261224508286,0.004430525936186314
28672,0.05917252600193024,0.005917252507060766
30720,0.0714498907327652,0.00714498944580555
32768,0.08643092960119247,0.008643092587590218
34816,0.10641787201166153,0.010641787201166153
36864,0.11776269972324371,0.011776269413530827
38912,0.11531874537467957,0.011531874537467957
40960,0.11041755974292755,0.011041756719350815
43008,0.14595171809196472,0.014595173299312592
45056,0.14022013545036316,0.01402201410382986
47104,0.1335126757621765,0.013351268135011196
49152,0.11105387657880783,0.011105388402938843
51200,0.11526545882225037,0.011526546441018581
53248,0.11498107761144638,0.011498106643557549
55296,0.09413203597068787,0.009413204155862331
57344,0.06384138762950897,0.0063841380178928375
59392,0.06037558242678642,0.006037558428943157
61440,0.05607849359512329,0.005607849918305874
63488,0.060283709317445755,0.0060283709317445755
65536,0.05423368513584137,0.0054233684204518795
67584,0.047872647643089294,0.004787264857441187
69632,0.07572244107723236,0.007572243921458721
71680,0.07676218450069427,0.007676217705011368
73728,0.08684767037630081,0.008684767410159111
75776,0.10780490934848785,0.010780490934848785
77824,0.10063925385475159,0.010063925758004189
79872,0.10589085519313812,0.010589085519313812
81920,0.11633621156215668,0.011633620597422123
83968,0.10036788880825043,0.010036788880825043
86016,0.09156796336174011,0.009156797081232071
88064,0.10317951440811157,0.010317951440811157
90112,0.097666896879673,0.009766689501702785
92160,0.11355367302894592,0.011355368420481682
94208,0.11473775655031204,0.01147377584129572
96256,0.11889101564884186,0.011889101937413216
98304,0.11817168444395065,0.011817168444395065
100352,0.12099205702543259,0.012099206447601318
102400,0.09391017258167267,0.009391017258167267
