mode,method,display,class,seed,budget,K,reward,success,collision,C,rho,C_source,n_episodes
reeval,mappo,MAPPO,A,1234,train_default,,9.476794882502872,0.25,0.0390625,0.0,0.0,zero_no_comm,32
reeval,mappo,MAPPO,A,2026,train_default,,9.235944328363985,0.259765625,0.015625,0.0,0.0,zero_no_comm,32
reeval,mappo,MAPPO,A,3407,train_default,,8.735340762534179,0.23828125,0.0078125,0.0,0.0,zero_no_comm,32
reeval,mappo,MAPPO,A,42,train_default,,10.545354352798313,0.326171875,0.02734375,0.0,0.0,zero_no_comm,32
reeval,mappo,MAPPO,A,8888,train_default,,10.090135026664939,0.28515625,0.0234375,0.0,0.0,zero_no_comm,32
reeval,gat,GAT-MAPPO,B,1234,train_default,,9.700496323988773,0.271484375,0.0234375,46.8671875,0.19527994791666664,radius_support_edges,32
reeval,gat,GAT-MAPPO,B,2026,train_default,,8.776450883306097,0.212890625,0.01953125,39.86669921875,0.16611124674479166,radius_support_edges,32
reeval,gat,GAT-MAPPO,B,3407,train_default,,8.35621017756057,0.212890625,0.015625,44.16357421875,0.184014892578125,radius_support_edges,32
reeval,gat,GAT-MAPPO,B,42,train_default,,8.213636932865484,0.21484375,0.03125,45.244140625,0.18851725260416669,radius_support_edges,32
reeval,gat,GAT-MAPPO,B,8888,train_default,,8.877206339486293,0.193359375,0.0234375,45.8681640625,0.19111735026041668,radius_support_edges,32
reeval,dsgf,DSGF,B,1234,train_default,,8.79393448564224,0.21875,0.01953125,47.22705078125,0.19677937825520833,radius_support_edges,32
reeval,dsgf,DSGF,B,2026,train_default,,8.765486834046897,0.224609375,0.0,38.07373046875,0.15864054361979169,radius_support_edges,32
reeval,dsgf,DSGF,B,3407,train_default,,8.596615334274247,0.224609375,0.0078125,43.77001953125,0.18237508138020833,radius_support_edges,32
reeval,dsgf,DSGF,B,42,train_default,,9.09210514696315,0.2265625,0.0078125,41.76220703125,0.1740091959635417,radius_support_edges,32
reeval,dsgf,DSGF,B,8888,train_default,,9.786679505079519,0.263671875,0.03515625,47.87939453125,0.19949747721354166,radius_support_edges,32
reeval,full_attn,Full-Attention,G2,1234,train_default,,9.16691976506263,0.248046875,0.01171875,240.0,1.0,dense_N_N-1,32
reeval,full_attn,Full-Attention,G2,2026,train_default,,8.472175497037824,0.2109375,0.01953125,240.0,1.0,dense_N_N-1,32
reeval,full_attn,Full-Attention,G2,3407,train_default,,9.474637131614145,0.279296875,0.00390625,240.0,1.0,dense_N_N-1,32
reeval,full_attn,Full-Attention,G2,42,train_default,,9.677522712911014,0.283203125,0.0234375,240.0,1.0,dense_N_N-1,32
reeval,full_attn,Full-Attention,G2,8888,train_default,,11.216743485827465,0.416015625,0.02734375,240.0,1.0,dense_N_N-1,32
